"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"470uf";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C2";"470uf";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";
"D2";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";
"K1";"AQH2223";"AQH2223";"DIL07";"SOLID STATE RELAY NAiS";"AROMAT/ MATSUSHITA";"AQH2223";"unknown";"26K3059";
"K2";"AQH2223";"AQH2223";"DIL07";"SOLID STATE RELAY NAiS";"AROMAT/ MATSUSHITA";"AQH2223";"unknown";"26K3059";
"K3";"AQH2223";"AQH2223";"DIL07";"SOLID STATE RELAY NAiS";"AROMAT/ MATSUSHITA";"AQH2223";"unknown";"26K3059";
"K4";"AQH2223";"AQH2223";"DIL07";"SOLID STATE RELAY NAiS";"AROMAT/ MATSUSHITA";"AQH2223";"unknown";"26K3059";
"R1";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R2";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R3";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R4";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"SV2";"";"MA04-2";"MA04-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV3";"";"MA08-1";"MA08-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV4";"";"MA08-1";"MA08-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV5";"";"DC-DC3V3";"DC-DC";"PIN HEADER";"";"";"unknown";"unknown";
"U1";"";"ESP12EPOGO";"ESP12E-POGO";"ESP12E Module";"";"";"";"";
"U2";"";"ESP12ESMD";"ESP12E-SMD";"ESP12E Module";"";"";"";"";
"X5";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";
"X6";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";
"X7";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";
"X8";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";
